source_key,path,exists,sha256
phase1_model,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase1_model_development\landing_dynamic_v04_2dof.py,True,333d5c54e4596be0bb3b70d73c8dee50aecb634c00344c0d3706ad8b9f6b8c34
phase1_load_envelope,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase1_loads\phase1_load_envelope.csv,True,be93e689548517968f4af296906b9708fb4dd5bf0da24b482ee608a3a57cc9a4
phase2_packaging_py,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase2_structures\phase2_packaging_overlap.py,True,1d872370f1c685768335efbc828f0f2c3d67cbad413e2ecb0801a475d765deeb
phase2_packaging_csv,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase2_structures\phase2_packaging_overlap.csv,True,f0e409b91caeb890b31700eb7ade9ca178ed7182a67d7343da9ff47dc3f729cc
phase2_axle_py,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase2_structures\phase2_axle_sizing.py,True,cd3810cd5fac2110137356037996ee65d7c26ef52af3062e270023612d5bc7b1
phase2_axle_csv,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase2_structures\phase2_axle_sizing.csv,True,2eb13bf809d812d7c9a21492c205f8f8c33793ae0d8c91c1ea41651f287ccfb1
phase2_internal_loads,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase2_structures\phase2_internal_loads.csv,True,85d101d8ead0d9a3938e9fde7c7ace07bcdc1827c189aeb2c14a7d93a921a05f
phase2e1_geometry,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase2_structures\phase2e1_lower_end_geometry.csv,True,17ce37daa0295a3b3153df7a0ca58df0d5a72f108d9e72915dbce035a60c95ac
phase2e2_baseline,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase2_structures\phase2e2_v1_baseline.csv,True,c42e658aac795e6eea1f67592943e2b5bbac9e53f4d7ae4afaf3cdb92a4d056e
phase2e2_release_checks,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase2_structures\phase2e2_v1_release_checks.csv,True,de0a32ed3982c10600a5383a1f7a2c839e58a4bbffcd3c6d8234b20cd75c84e1
phase2e2_continuity,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase2_structures\phase2e2c_fluid_continuity_states.csv,True,e0b138d15d49041c716efa60a35ed27099a621f852c16b9cfb833263f7ba1797
phase2e2_metering_compare,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase2_structures\phase2e2_metering_law_comparison.csv,True,711ab6748443e050c18e5b9fc36b4ef75d86e208442a940c1210f7178a8b82e5
phase2_barrel_sizing,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase2_structures\phase2_barrel_sizing.csv,True,e674723d4145ab4a00d0e8e0e4f12d03743b8df820ea0f6a55955e8e0c762798
